,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
22,LP001163,Male,Yes,2,Graduate,No,4363,1250,140.0,360.0,1.0,Urban,1
23,LP001169,Male,Yes,0,Graduate,No,7500,3750,275.0,360.0,1.0,Urban,1
24,LP001174,Male,Yes,0,Graduate,No,3772,833,57.0,360.0,1.0,Semiurban,1
25,LP001176,Male,No,0,Graduate,No,2942,2382,125.0,180.0,1.0,Urban,1
26,LP001177,Female,No,0,Not Graduate,No,2478,0,75.0,360.0,1.0,Semiurban,1
27,LP001183,Male,Yes,2,Graduate,No,6250,820,192.0,360.0,1.0,Urban,1
28,LP001185,Male,No,0,Graduate,No,3268,1683,152.0,360.0,1.0,Semiurban,1
29,LP001187,Male,Yes,0,Graduate,No,2783,2708,158.0,360.0,1.0,Urban,1
30,LP001190,Male,Yes,0,Graduate,No,2740,1541,101.0,360.0,1.0,Urban,1
31,LP001203,Male,No,0,Graduate,No,3150,0,176.0,360.0,0.0,Semiurban,0
32,LP001210,Male,Yes,0,Graduate,Yes,2267,2792,90.0,360.0,1.0,Urban,1
33,LP001211,Male,No,0,Graduate,Yes,5833,0,116.0,360.0,1.0,Urban,1
34,LP001219,Male,No,0,Graduate,No,3643,1963,138.0,360.0,1.0,Urban,1
35,LP001220,Male,Yes,0,Graduate,No,5629,818,100.0,360.0,1.0,Urban,1
36,LP001221,Female,No,0,Graduate,No,3644,0,110.0,360.0,1.0,Urban,1
37,LP001226,Male,Yes,0,Not Graduate,No,1750,2024,90.0,360.0,1.0,Semiurban,1
38,LP001230,Male,No,0,Graduate,No,6500,2600,200.0,360.0,1.0,Semiurban,1
39,LP001231,Female,No,0,Graduate,No,3666,0,84.0,360.0,1.0,Urban,1
40,LP001232,Male,Yes,0,Graduate,No,4260,3900,185.0,360.0,1.0,Urban,1
41,LP001242,Male,No,0,Not Graduate,No,2356,1902,108.0,360.0,1.0,Semiurban,1
42,LP001268,Male,No,0,Graduate,No,6792,3338,187.0,360.0,1.0,Urban,1
43,LP001270,Male,Yes,3+,Not Graduate,Yes,8000,250,187.0,360.0,1.0,Semiurban,1
44,LP001284,Male,Yes,1,Graduate,No,2419,1707,124.0,360.0,1.0,Urban,1
45,LP001291,Male,Yes,1,Graduate,No,3500,3077,160.0,360.0,1.0,Semiurban,1
46,LP001298,Male,Yes,2,Graduate,No,4116,1000,30.0,180.0,1.0,Urban,1
47,LP001312,Male,Yes,0,Not Graduate,Yes,5293,0,92.0,360.0,1.0,Urban,1
48,LP001313,Male,No,0,Graduate,No,2750,0,130.0,360.0,0.0,Urban,0
49,LP001317,Female,No,0,Not Graduate,No,4402,0,130.0,360.0,1.0,Rural,1
50,LP001321,Male,Yes,2,Graduate,No,3613,3539,134.0,180.0,1.0,Semiurban,1
51,LP001323,Female,Yes,2,Graduate,No,2779,3664,176.0,360.0,0.0,Semiurban,0
52,LP001324,Male,Yes,3+,Graduate,No,4720,0,90.0,180.0,1.0,Semiurban,1
53,LP001332,Male,Yes,0,Not Graduate,No,2415,1721,110.0,360.0,1.0,Semiurban,1
54,LP001335,Male,Yes,0,Graduate,Yes,7016,292,125.0,360.0,1.0,Urban,1
55,LP001338,Female,No,2,Graduate,No,4968,0,189.0,360.0,1.0,Semiurban,1
56,LP001347,Female,No,0,Graduate,No,2101,1500,108.0,360.0,0.0,Rural,0
57,LP001348,Male,Yes,3+,Not Graduate,No,4490,0,125.0,360.0,1.0,Urban,1
58,LP001351,Male,Yes,0,Graduate,No,2917,3583,138.0,360.0,1.0,Semiurban,1
59,LP001352,Male,Yes,0,Not Graduate,No,4700,0,135.0,360.0,0.0,Semiurban,0
60,LP001358,Male,Yes,0,Graduate,No,3445,0,130.0,360.0,0.0,Semiurban,1
61,LP001359,Male,Yes,0,Graduate,No,7666,0,187.0,360.0,1.0,Semiurban,1
62,LP001361,Male,Yes,0,Graduate,No,2458,5105,188.0,360.0,0.0,Rural,0
63,LP001368,Male,No,0,Graduate,No,4463,0,65.0,360.0,1.0,Semiurban,1
64,LP001380,Male,Yes,0,Graduate,Yes,3900,2094,232.0,360.0,1.0,Rural,1
65,LP001386,Male,Yes,0,Not Graduate,No,4750,3583,144.0,360.0,1.0,Semiurban,1
66,LP001400,Male,No,0,Graduate,No,3583,3435,155.0,360.0,1.0,Urban,1
67,LP001407,Male,Yes,0,Graduate,No,3189,2367,186.0,360.0,1.0,Urban,1
68,LP001413,Male,No,0,Graduate,Yes,6356,0,50.0,360.0,1.0,Rural,1
69,LP001415,Male,Yes,1,Graduate,No,3413,4053,136.13259668508286,360.0,1.0,Semiurban,1
70,LP001419,Female,Yes,0,Graduate,No,7950,0,185.0,360.0,1.0,Urban,1
71,LP001420,Male,Yes,3+,Graduate,No,3829,1103,163.0,360.0,0.0,Urban,0
72,LP001428,Male,Yes,3+,Graduate,No,72529,0,360.0,360.0,1.0,Urban,0
73,LP001445,Male,Yes,2,Not Graduate,No,4136,0,149.0,480.0,0.0,Rural,0
74,LP001446,Male,Yes,0,Graduate,No,8449,0,257.0,360.0,1.0,Rural,1
75,LP001450,Male,Yes,0,Graduate,No,4456,0,131.0,180.0,0.0,Semiurban,1
76,LP001452,Male,Yes,2,Graduate,No,4635,8000,102.0,180.0,1.0,Rural,1
77,LP001455,Male,Yes,0,Graduate,No,3571,1917,135.0,360.0,1.0,Urban,1
78,LP001466,Male,No,0,Graduate,No,3066,0,95.0,360.0,1.0,Semiurban,1
79,LP001471,Male,No,2,Not Graduate,No,3235,2015,77.0,360.0,1.0,Semiurban,1
80,LP001475,Male,Yes,0,Graduate,Yes,3188,2286,130.0,360.0,1.0,Rural,1
81,LP001483,Male,Yes,3+,Graduate,No,13518,0,390.0,360.0,1.0,Rural,1
82,LP001486,Male,Yes,1,Graduate,No,4364,2500,185.0,360.0,1.0,Semiurban,1
83,LP001490,Male,Yes,2,Not Graduate,No,4766,1646,100.0,360.0,1.0,Semiurban,1
84,LP001496,Male,Yes,1,Graduate,No,4609,2333,123.0,360.0,0.0,Semiurban,0
85,LP001499,Female,Yes,3+,Graduate,No,6260,0,110.0,360.0,1.0,Semiurban,1
86,LP001500,Male,Yes,1,Graduate,No,3333,4200,256.0,360.0,1.0,Urban,1
87,LP001501,Male,Yes,0,Graduate,No,3500,3250,140.0,360.0,1.0,Semiurban,1
88,LP001517,Male,Yes,3+,Graduate,No,9719,0,61.0,360.0,1.0,Urban,1
89,LP001527,Male,Yes,3+,Graduate,No,6835,0,188.0,360.0,1.0,Semiurban,1
90,LP001534,Male,No,0,Graduate,No,4452,0,131.0,360.0,1.0,Rural,1
91,LP001542,Female,Yes,0,Graduate,No,2262,0,136.13259668508286,480.0,0.0,Semiurban,0
92,LP001547,Male,Yes,1,Graduate,No,3901,0,116.0,360.0,1.0,Urban,1
93,LP001548,Male,Yes,2,Not Graduate,No,2687,0,50.0,180.0,1.0,Rural,1
94,LP001558,Male,No,0,Graduate,No,2243,2233,107.0,360.0,1.0,Semiurban,1
95,LP001561,Female,Yes,0,Graduate,No,3417,1287,200.0,360.0,1.0,Semiurban,1
96,LP001567,Male,Yes,3+,Graduate,No,4513,0,120.0,360.0,1.0,Rural,1
97,LP001568,Male,Yes,0,Graduate,No,4500,0,140.0,360.0,1.0,Semiurban,1
98,LP001573,Male,Yes,0,Not Graduate,No,4523,1350,165.0,360.0,1.0,Urban,1
99,LP001584,Female,No,0,Graduate,Yes,4742,0,108.0,360.0,1.0,Semiurban,1
100,LP001589,Female,No,0,Graduate,No,3417,0,102.0,360.0,1.0,Urban,1
101,LP001591,Female,Yes,2,Graduate,No,2922,3396,122.0,360.0,1.0,Semiurban,1
102,LP001599,Male,Yes,0,Graduate,No,4167,4754,160.0,360.0,1.0,Rural,1
103,LP001601,Male,No,3+,Graduate,No,4243,4123,157.0,360.0,1.0,Semiurban,1
104,LP001607,Female,No,0,Not Graduate,No,0,1760,180.0,360.0,1.0,Semiurban,1
105,LP001611,Male,Yes,1,Graduate,No,1516,2900,80.0,360.0,0.0,Rural,0
106,LP001613,Female,No,0,Graduate,No,1762,2666,104.0,360.0,0.0,Urban,0
107,LP001622,Male,Yes,2,Graduate,No,724,3510,213.0,360.0,0.0,Rural,0
108,LP001627,Male,No,0,Graduate,No,3125,0,65.0,360.0,1.0,Urban,1
109,LP001650,Male,Yes,0,Graduate,No,2333,3803,146.0,360.0,1.0,Rural,1
110,LP001651,Male,Yes,3+,Graduate,No,3350,1560,135.0,360.0,1.0,Urban,1
111,LP001652,Male,No,0,Graduate,No,2500,6414,187.0,360.0,0.0,Rural,0
112,LP001655,Female,No,0,Graduate,No,12500,0,300.0,360.0,0.0,Urban,0
113,LP001660,Male,No,0,Graduate,No,4667,0,120.0,360.0,1.0,Semiurban,1
114,LP001662,Male,No,0,Graduate,No,6500,0,71.0,360.0,0.0,Urban,0
115,LP001663,Male,Yes,2,Graduate,No,7500,0,225.0,360.0,1.0,Urban,1
116,LP001667,Male,No,0,Graduate,No,3073,0,70.0,180.0,1.0,Urban,1
117,LP001695,Male,Yes,1,Not Graduate,No,3321,2088,70.0,360.0,1.0,Semiurban,1
118,LP001703,Male,Yes,0,Graduate,No,3333,1270,124.0,360.0,1.0,Urban,1
119,LP001718,Male,No,0,Graduate,No,3391,0,132.0,360.0,1.0,Rural,1
120,LP001728,Male,Yes,1,Graduate,Yes,3343,1517,105.0,360.0,1.0,Rural,1
121,LP001735,Female,No,1,Graduate,No,3620,0,90.0,360.0,1.0,Urban,1
122,LP001737,Male,No,0,Graduate,No,4000,0,83.0,84.0,1.0,Urban,1
123,LP001739,Male,Yes,0,Graduate,No,4258,0,125.0,360.0,1.0,Urban,1
124,LP001742,Male,Yes,2,Graduate,No,4500,0,147.0,360.0,1.0,Rural,1
125,LP001757,Male,Yes,1,Graduate,No,2014,2925,120.0,360.0,1.0,Rural,1
126,LP001771,Female,No,3+,Graduate,No,4083,0,103.0,360.0,1.0,Semiurban,1
127,LP001785,Male,No,0,Graduate,No,4727,0,150.0,360.0,0.0,Rural,0
128,LP001787,Male,Yes,3+,Graduate,No,3089,2999,100.0,240.0,1.0,Rural,1
129,LP001791,Male,Yes,0,Graduate,Yes,32000,0,550.0,360.0,1.0,Semiurban,1
130,LP001794,Male,Yes,2,Graduate,Yes,10890,0,260.0,12.0,1.0,Rural,1
131,LP001797,Female,No,0,Graduate,No,12941,0,150.0,300.0,1.0,Urban,1
132,LP001815,Male,No,0,Not Graduate,No,3276,0,90.0,360.0,1.0,Semiurban,1
133,LP001817,Male,No,0,Not Graduate,Yes,8703,0,199.0,360.0,0.0,Rural,0
134,LP001818,Male,Yes,1,Graduate,No,4742,717,139.0,360.0,1.0,Semiurban,1
135,LP001822,Male,No,0,Graduate,No,5900,0,150.0,360.0,1.0,Urban,1
136,LP001827,Male,No,0,Graduate,No,3071,4309,180.0,360.0,1.0,Urban,1
137,LP001831,Male,Yes,0,Graduate,No,2783,1456,113.0,360.0,1.0,Urban,1
138,LP001842,Male,No,0,Graduate,No,5000,0,148.0,360.0,1.0,Rural,1
139,LP001853,Male,Yes,1,Not Graduate,No,2463,2360,117.0,360.0,0.0,Urban,0
140,LP001855,Male,Yes,2,Graduate,No,4855,0,72.0,360.0,1.0,Rural,1
141,LP001857,Male,No,0,Not Graduate,Yes,1599,2474,125.0,300.0,1.0,Semiurban,1
142,LP001862,Male,Yes,2,Graduate,Yes,4246,4246,214.0,360.0,1.0,Urban,1
143,LP001867,Male,Yes,0,Graduate,No,4333,2291,133.0,350.0,1.0,Rural,1
144,LP001878,Male,No,1,Graduate,No,5823,2529,187.0,360.0,1.0,Semiurban,1
145,LP001881,Male,Yes,0,Not Graduate,No,7895,0,143.0,360.0,1.0,Rural,1
146,LP001886,Male,No,0,Graduate,No,4150,4256,209.0,360.0,1.0,Rural,1
147,LP001909,Male,No,0,Graduate,No,5583,0,116.0,360.0,1.0,Urban,1
148,LP001911,Female,No,0,Graduate,No,2708,0,65.0,360.0,1.0,Rural,1
149,LP001921,Male,No,1,Graduate,No,3180,2370,80.0,240.0,1.0,Rural,1
150,LP001923,Male,No,0,Not Graduate,No,2268,0,170.0,360.0,0.0,Semiurban,0
151,LP001933,Male,No,2,Not Graduate,No,1141,2017,120.0,360.0,0.0,Urban,0
152,LP001943,Male,Yes,0,Graduate,No,3042,3167,135.0,360.0,1.0,Urban,1
153,LP001959,Female,Yes,1,Graduate,No,3564,0,79.0,360.0,1.0,Rural,1
154,LP001961,Female,No,0,Graduate,No,3958,0,110.0,360.0,1.0,Rural,1
155,LP001973,Male,Yes,2,Not Graduate,No,4483,0,130.0,360.0,1.0,Rural,1
156,LP001975,Male,Yes,0,Graduate,No,5225,0,143.0,360.0,1.0,Rural,1
157,LP001979,Male,No,0,Graduate,No,3017,2845,159.0,180.0,0.0,Urban,0
158,LP001995,Male,Yes,0,Not Graduate,No,2431,1820,110.0,360.0,0.0,Rural,0
159,LP002007,Male,Yes,2,Not Graduate,No,2500,3333,131.0,360.0,1.0,Urban,1
160,LP002009,Female,No,0,Graduate,No,2918,0,65.0,360.0,1.0,Rural,1
161,LP002016,Male,Yes,2,Graduate,No,5128,0,143.0,360.0,1.0,Rural,1
162,LP002017,Male,Yes,3+,Graduate,No,15312,0,187.0,360.0,1.0,Urban,1
163,LP002018,Male,Yes,2,Graduate,No,3958,2632,160.0,360.0,1.0,Semiurban,1
164,LP002027,Male,Yes,0,Graduate,No,4334,2945,165.0,360.0,1.0,Semiurban,1
165,LP002028,Male,Yes,2,Graduate,No,4358,0,110.0,360.0,1.0,Urban,1
166,LP002042,Female,Yes,1,Graduate,No,4000,3917,173.0,360.0,1.0,Rural,1
167,LP002045,Male,Yes,3+,Graduate,No,10166,750,150.0,360.0,1.0,Urban,1
168,LP002046,Male,Yes,0,Not Graduate,No,4483,0,135.0,360.0,1.0,Semiurban,1
169,LP002047,Male,Yes,2,Not Graduate,No,4521,1184,150.0,360.0,1.0,Semiurban,1
170,LP002056,Male,Yes,2,Graduate,No,9167,0,235.0,360.0,1.0,Semiurban,1
171,LP002057,Male,Yes,0,Not Graduate,No,13083,0,136.13259668508286,360.0,1.0,Rural,1
172,LP002059,Male,Yes,2,Graduate,No,7874,3967,336.0,360.0,1.0,Rural,1
173,LP002062,Female,Yes,1,Graduate,No,4333,0,132.0,84.0,1.0,Rural,1
174,LP002064,Male,No,0,Graduate,No,4083,0,96.0,360.0,1.0,Urban,1
175,LP002070,Male,Yes,3+,Not Graduate,No,2654,1998,128.0,360.0,0.0,Rural,0
176,LP002077,Male,Yes,1,Graduate,No,10000,2690,412.0,360.0,1.0,Semiurban,1
177,LP002083,Male,No,0,Graduate,Yes,5833,0,116.0,360.0,1.0,Urban,1
178,LP002090,Male,Yes,1,Graduate,No,4796,0,114.0,360.0,0.0,Semiurban,0
179,LP002096,Male,Yes,0,Not Graduate,No,2000,1600,115.0,360.0,1.0,Rural,1
180,LP002099,Male,Yes,2,Graduate,No,2540,700,104.0,360.0,0.0,Urban,0
181,LP002102,Male,Yes,0,Graduate,Yes,1900,1442,88.0,360.0,1.0,Rural,1
182,LP002105,Male,Yes,0,Graduate,Yes,8706,0,108.0,480.0,1.0,Rural,1
183,LP002107,Male,Yes,3+,Not Graduate,No,2855,542,90.0,360.0,1.0,Urban,1
184,LP002117,Female,Yes,0,Graduate,No,3159,2374,108.0,360.0,1.0,Semiurban,1
185,LP002118,Female,No,0,Graduate,No,1937,1152,78.0,360.0,1.0,Semiurban,1
186,LP002123,Male,Yes,0,Graduate,No,2613,2417,123.0,360.0,1.0,Semiurban,1
187,LP002125,Male,Yes,1,Graduate,No,4960,2600,187.0,360.0,1.0,Semiurban,1
188,LP002148,Male,Yes,1,Graduate,No,3074,1083,146.0,360.0,1.0,Semiurban,1
189,LP002152,Female,No,0,Graduate,No,4213,0,80.0,360.0,1.0,Urban,1
190,LP002167,Female,No,0,Graduate,No,2362,0,55.0,360.0,1.0,Urban,1
191,LP002168,Male,No,0,Graduate,No,5333,2400,200.0,360.0,0.0,Rural,0
192,LP002172,Male,Yes,3+,Graduate,Yes,5384,0,150.0,360.0,1.0,Semiurban,1
193,LP002176,Male,No,0,Graduate,No,5708,0,150.0,360.0,1.0,Rural,1
194,LP002183,Male,Yes,0,Not Graduate,No,3754,3719,118.0,360.0,1.0,Rural,1
195,LP002184,Male,Yes,0,Not Graduate,No,2914,2130,150.0,300.0,1.0,Urban,1
196,LP002186,Male,Yes,0,Not Graduate,No,2747,2458,118.0,36.0,1.0,Semiurban,1
197,LP002192,Male,Yes,0,Graduate,No,7830,2183,212.0,360.0,1.0,Rural,1
198,LP002195,Male,Yes,1,Graduate,Yes,3507,3148,212.0,360.0,1.0,Rural,1
199,LP002208,Male,Yes,1,Graduate,No,3747,2139,125.0,360.0,1.0,Urban,1
200,LP002212,Male,Yes,0,Graduate,No,2166,2166,108.0,360.0,1.0,Urban,1
201,LP002240,Male,Yes,0,Not Graduate,No,3500,2168,149.0,360.0,1.0,Rural,1
202,LP002245,Male,Yes,2,Not Graduate,No,2896,0,80.0,480.0,1.0,Urban,1
203,LP002253,Female,No,1,Graduate,No,5062,0,152.0,300.0,1.0,Rural,1
204,LP002256,Female,No,2,Graduate,Yes,5184,0,187.0,360.0,0.0,Semiurban,0
205,LP002257,Female,No,0,Graduate,No,2545,0,74.0,360.0,1.0,Urban,1
206,LP002264,Male,Yes,0,Graduate,No,2553,1768,102.0,360.0,1.0,Urban,1
207,LP002270,Male,Yes,1,Graduate,No,3436,3809,100.0,360.0,1.0,Rural,1
208,LP002279,Male,No,0,Graduate,No,2412,2755,130.0,360.0,1.0,Rural,1
209,LP002286,Male,Yes,3+,Not Graduate,No,5180,0,125.0,360.0,0.0,Urban,0
210,LP002294,Male,No,0,Graduate,No,14911,14507,130.0,360.0,1.0,Semiurban,1
211,LP002306,Male,Yes,0,Graduate,No,1173,1594,28.0,180.0,1.0,Rural,1
212,LP002310,Female,No,1,Graduate,No,7600,0,92.0,360.0,1.0,Semiurban,1
213,LP002311,Female,Yes,0,Graduate,No,2157,1788,104.0,360.0,1.0,Urban,1
214,LP002316,Male,No,0,Graduate,No,2231,2774,176.0,360.0,0.0,Urban,0
215,LP002321,Female,No,0,Graduate,No,2274,5211,117.0,360.0,0.0,Semiurban,0
216,LP002325,Male,Yes,2,Not Graduate,No,6166,13983,102.0,360.0,1.0,Rural,1
217,LP002326,Male,Yes,2,Not Graduate,No,2513,1110,107.0,360.0,1.0,Semiurban,1
218,LP002329,Male,No,0,Graduate,No,4333,0,66.0,480.0,1.0,Urban,1
219,LP002333,Male,No,0,Not Graduate,No,3844,0,105.0,360.0,1.0,Urban,1
220,LP002339,Male,Yes,0,Graduate,No,3887,1517,105.0,360.0,0.0,Semiurban,1
221,LP002344,Male,Yes,0,Graduate,No,3510,828,105.0,360.0,1.0,Semiurban,1
222,LP002354,Female,No,0,Not Graduate,No,2107,0,64.0,360.0,1.0,Semiurban,1
223,LP002358,Male,Yes,2,Graduate,Yes,5000,2166,150.0,360.0,1.0,Urban,1
224,LP002375,Male,Yes,0,Not Graduate,Yes,3943,0,64.0,360.0,1.0,Semiurban,1
225,LP002376,Male,No,0,Graduate,No,2925,0,40.0,180.0,1.0,Rural,1
226,LP002383,Male,Yes,3+,Graduate,No,3242,437,142.0,480.0,0.0,Urban,0
227,LP002389,Female,No,1,Graduate,No,4028,0,131.0,360.0,1.0,Semiurban,1
228,LP002394,Male,Yes,2,Graduate,No,4010,1025,120.0,360.0,1.0,Urban,1
229,LP002397,Female,Yes,1,Graduate,No,3719,1585,114.0,360.0,1.0,Urban,1
230,LP002400,Female,Yes,0,Graduate,No,3833,0,92.0,360.0,1.0,Rural,1
231,LP002402,Male,Yes,0,Graduate,No,3333,4288,160.0,360.0,1.0,Urban,1
232,LP002412,Male,Yes,0,Graduate,No,3007,3725,151.0,360.0,1.0,Rural,1
233,LP002417,Male,Yes,3+,Not Graduate,No,2792,2619,171.0,360.0,1.0,Semiurban,1
234,LP002420,Male,Yes,0,Graduate,No,2982,1550,110.0,360.0,1.0,Semiurban,1
235,LP002425,Male,No,0,Graduate,No,3417,738,100.0,360.0,1.0,Rural,1
236,LP002433,Male,Yes,1,Graduate,No,18840,0,234.0,360.0,1.0,Rural,1
237,LP002440,Male,Yes,2,Graduate,No,2995,1120,184.0,360.0,1.0,Rural,1
238,LP002442,Female,Yes,1,Not Graduate,No,3835,1400,112.0,480.0,0.0,Urban,0
239,LP002445,Female,No,1,Not Graduate,No,3854,3575,117.0,360.0,1.0,Rural,0
240,LP002450,Male,Yes,2,Graduate,No,5833,750,49.0,360.0,0.0,Rural,0
241,LP002471,Male,No,0,Graduate,No,3508,0,99.0,360.0,1.0,Rural,1
242,LP002476,Female,Yes,3+,Not Graduate,No,1635,2444,99.0,360.0,1.0,Urban,1
243,LP002482,Female,No,0,Graduate,Yes,3333,3916,212.0,360.0,1.0,Rural,1
244,LP002485,Male,No,1,Graduate,No,24797,0,240.0,360.0,1.0,Semiurban,1
245,LP002495,Male,Yes,2,Graduate,No,5667,440,130.0,360.0,0.0,Semiurban,1
246,LP002496,Female,No,0,Graduate,No,3500,0,94.0,360.0,0.0,Semiurban,0
247,LP002523,Male,Yes,3+,Graduate,No,2773,1497,108.0,360.0,1.0,Semiurban,1
248,LP002550,Female,No,0,Graduate,No,5769,0,110.0,180.0,1.0,Semiurban,1
249,LP002554,Male,No,0,Graduate,No,2166,2057,122.0,360.0,1.0,Semiurban,1
250,LP002561,Male,Yes,0,Graduate,No,5000,0,126.0,360.0,1.0,Rural,1
251,LP002566,Female,No,0,Graduate,No,5530,0,135.0,360.0,1.0,Urban,1
252,LP002568,Male,No,0,Not Graduate,No,9000,0,122.0,360.0,1.0,Rural,1
253,LP002570,Female,Yes,2,Graduate,No,10000,11666,460.0,360.0,1.0,Urban,0
254,LP002581,Male,Yes,0,Not Graduate,No,2157,2730,140.0,360.0,1.0,Rural,1
255,LP002592,Male,No,0,Graduate,No,4983,0,141.0,360.0,1.0,Urban,1
256,LP002593,Male,Yes,1,Graduate,No,8333,4000,136.13259668508286,360.0,1.0,Urban,1
257,LP002599,Male,Yes,0,Graduate,No,3667,2000,170.0,360.0,1.0,Semiurban,1
258,LP002604,Male,Yes,2,Graduate,No,3166,2833,145.0,360.0,1.0,Urban,1
259,LP002605,Male,No,0,Not Graduate,No,3271,0,90.0,360.0,1.0,Rural,1
260,LP002609,Female,Yes,0,Graduate,No,2241,2000,88.0,360.0,0.0,Urban,0
261,LP002612,Female,Yes,0,Graduate,No,2666,0,84.0,480.0,1.0,Semiurban,1
262,LP002635,Female,Yes,2,Not Graduate,No,3729,0,117.0,360.0,1.0,Semiurban,1
263,LP002639,Male,Yes,2,Graduate,No,4120,0,128.0,360.0,1.0,Rural,1
264,LP002644,Male,Yes,1,Graduate,Yes,7500,0,75.0,360.0,1.0,Urban,1
265,LP002711,Male,Yes,0,Graduate,No,2600,700,96.0,360.0,1.0,Semiurban,1
266,LP002712,Male,No,2,Not Graduate,No,2733,1083,180.0,360.0,1.0,Semiurban,1
267,LP002721,Male,Yes,2,Graduate,Yes,7500,0,183.0,360.0,1.0,Rural,1
268,LP002735,Male,Yes,2,Not Graduate,No,3859,0,121.0,360.0,1.0,Rural,1
269,LP002744,Male,Yes,1,Graduate,No,6825,0,162.0,360.0,1.0,Rural,1
270,LP002745,Male,Yes,0,Graduate,No,3708,4700,132.0,360.0,1.0,Semiurban,1
271,LP002746,Male,No,0,Graduate,No,5314,0,147.0,360.0,1.0,Urban,1
272,LP002747,Female,No,3+,Graduate,No,2366,5272,153.0,360.0,0.0,Rural,0
273,LP002759,Male,Yes,2,Graduate,No,5000,0,149.0,360.0,1.0,Rural,1
274,LP002760,Female,No,0,Graduate,No,3767,0,134.0,300.0,1.0,Urban,1
275,LP002766,Female,Yes,0,Graduate,No,7859,879,165.0,180.0,1.0,Semiurban,1
276,LP002769,Female,Yes,0,Graduate,No,4283,0,120.0,360.0,1.0,Rural,1
277,LP002774,Male,Yes,0,Not Graduate,No,1700,2900,67.0,360.0,0.0,Urban,0
278,LP002781,Male,No,0,Graduate,No,3083,2738,120.0,360.0,1.0,Urban,1
279,LP002782,Male,Yes,1,Graduate,No,2667,1542,148.0,360.0,1.0,Rural,1
280,LP002786,Female,Yes,0,Not Graduate,No,1647,1762,181.0,360.0,1.0,Urban,1
281,LP002790,Male,Yes,3+,Graduate,No,3400,0,80.0,120.0,1.0,Urban,1
282,LP002793,Male,Yes,0,Graduate,No,5333,0,90.0,360.0,1.0,Rural,1
283,LP002802,Male,No,0,Graduate,No,2875,2416,95.0,6.0,0.0,Semiurban,1
284,LP002805,Male,Yes,2,Graduate,No,5041,700,150.0,360.0,1.0,Urban,1
285,LP002806,Male,Yes,3+,Graduate,Yes,6958,1411,150.0,360.0,1.0,Rural,1
286,LP002816,Male,Yes,1,Graduate,No,3500,1658,104.0,360.0,1.0,Semiurban,1
287,LP002823,Male,Yes,0,Graduate,No,5509,0,143.0,360.0,1.0,Rural,1
288,LP002825,Male,Yes,3+,Graduate,No,9699,0,300.0,360.0,1.0,Urban,1
289,LP002826,Female,Yes,1,Not Graduate,No,3621,2717,171.0,360.0,1.0,Urban,1
290,LP002843,Female,Yes,0,Graduate,No,4709,0,113.0,360.0,1.0,Semiurban,1
291,LP002849,Male,Yes,0,Graduate,No,1516,1951,35.0,360.0,1.0,Semiurban,1
