,Female,Male,Not_Married,Married,No_Dependent,1_Dependent,2_Dependents,3+_Dependents,Graduate,Not_Graduate,Not_Self_Employed,Self_Employed,Rural,Semiurban,Urban,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
16,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3510,0.0,76.0,360.0,0.0,0
17,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,4887,0.0,133.0,360.0,1.0,0
18,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,7660,0.0,104.0,360.0,0.0,0
19,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,5955,5625.0,315.0,360.0,1.0,1
20,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,2600,1911.0,116.0,360.0,0.0,0
21,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,9560,0.0,191.0,360.0,1.0,1
22,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2799,2253.0,122.0,360.0,1.0,1
23,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,4226,1040.0,110.0,360.0,1.0,1
24,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1442,0.0,35.0,360.0,1.0,0
25,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3167,0.0,74.0,360.0,1.0,0
26,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,4692,0.0,106.0,360.0,1.0,0
27,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3500,1667.0,114.0,360.0,1.0,1
28,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,12500,3000.0,320.0,360.0,1.0,0
29,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2275,2067.0,146.41216216216216,360.0,1.0,1
30,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1828,1330.0,100.0,360.0,0.0,0
31,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3667,1459.0,144.0,360.0,1.0,1
32,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,4166,7210.0,184.0,360.0,1.0,1
33,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1
34,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3600,0.0,80.0,360.0,1.0,0
35,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1800,1213.0,47.0,360.0,1.0,1
36,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2400,0.0,75.0,360.0,1.0,1
37,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3941,2336.0,134.0,360.0,1.0,1
38,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,4695,0.0,96.0,360.0,1.0,1
39,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3410,0.0,88.0,360.0,1.0,1
40,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,5649,0.0,44.0,360.0,1.0,1
41,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,5821,0.0,144.0,360.0,1.0,1
42,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,2645,3440.0,120.0,360.0,0.0,0
43,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4000,2275.0,144.0,360.0,1.0,1
44,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1928,1644.0,100.0,360.0,1.0,1
45,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3086,0.0,120.0,360.0,1.0,1
46,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4230,0.0,112.0,360.0,1.0,0
47,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4616,0.0,134.0,360.0,1.0,0
48,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,11500,0.0,286.0,360.0,0.0,0
49,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2708,1167.0,97.0,360.0,1.0,1
50,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2132,1591.0,96.0,360.0,1.0,1
51,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3366,2200.0,135.0,360.0,1.0,0
52,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,8080,2250.0,180.0,360.0,1.0,1
53,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,3357,2859.0,144.0,360.0,1.0,1
54,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2500,3796.0,120.0,360.0,1.0,1
55,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,3029,0.0,99.0,360.0,1.0,1
56,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,2609,3449.0,165.0,180.0,0.0,0
57,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,4945,0.0,146.41216216216216,360.0,0.0,0
58,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4166,0.0,116.0,360.0,0.0,0
59,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,5726,4595.0,258.0,360.0,1.0,0
60,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,3200,2254.0,126.0,180.0,0.0,0
61,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,10750,0.0,312.0,360.0,1.0,1
62,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,7100,0.0,125.0,60.0,1.0,1
63,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4300,0.0,136.0,360.0,0.0,0
64,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3208,3066.0,172.0,360.0,1.0,1
65,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1875,1875.0,97.0,360.0,1.0,1
66,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,3500,0.0,81.0,300.0,1.0,1
67,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,4755,0.0,95.0,360.0,0.0,0
68,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,5266,1774.0,187.0,360.0,1.0,1
69,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3750,0.0,113.0,480.0,1.0,0
70,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3750,4750.0,176.0,360.0,1.0,0
71,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1000,3022.0,110.0,360.0,1.0,0
72,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3167,4000.0,180.0,300.0,0.0,0
73,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,3333,2166.0,130.0,360.0,1.0,1
74,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3846,0.0,111.0,360.0,1.0,1
75,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,2395,0.0,146.41216216216216,360.0,1.0,1
76,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1378,1881.0,167.0,360.0,1.0,0
77,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,6000,2250.0,265.0,360.0,1.0,0
78,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,3988,0.0,50.0,240.0,1.0,1
79,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2366,2531.0,136.0,360.0,1.0,1
80,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,3333,2000.0,99.0,360.0,1.0,1
81,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2500,2118.0,104.0,360.0,1.0,1
82,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,8566,0.0,210.0,360.0,1.0,1
83,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,5695,4167.0,175.0,360.0,1.0,1
84,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2958,2900.0,131.0,360.0,1.0,1
85,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,6250,5654.0,188.0,180.0,1.0,1
86,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,3273,1820.0,81.0,360.0,1.0,1
87,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4133,0.0,122.0,360.0,1.0,1
88,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,3620,0.0,25.0,120.0,1.0,1
89,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2484,2302.0,137.0,360.0,1.0,1
90,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1977,997.0,50.0,360.0,1.0,1
91,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,4188,0.0,115.0,180.0,1.0,1
92,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1759,3541.0,131.0,360.0,1.0,1
93,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,4288,3263.0,133.0,180.0,1.0,1
94,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4843,3806.0,151.0,360.0,1.0,1
95,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4652,3583.0,146.41216216216216,360.0,1.0,1
96,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,3052,1030.0,100.0,360.0,1.0,1
97,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,11417,1126.0,225.0,360.0,1.0,1
98,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3800,3600.0,216.0,360.0,0.0,0
99,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,2071,754.0,94.0,480.0,1.0,1
100,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,5316,0.0,136.0,360.0,1.0,1
101,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,3572,4114.0,152.0,360.0,0.0,0
102,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,7451,0.0,146.41216216216216,360.0,1.0,1
103,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,14583,0.0,185.0,180.0,1.0,1
104,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3167,2283.0,154.0,360.0,1.0,1
105,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,2214,1398.0,85.0,360.0,1.0,1
106,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,5568,2142.0,175.0,360.0,1.0,0
107,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,10408,0.0,259.0,360.0,1.0,1
108,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4166,0.0,44.0,360.0,1.0,1
109,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2137,8980.0,137.0,360.0,0.0,1
110,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2957,0.0,81.0,360.0,1.0,1
111,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,4300,2014.0,194.0,360.0,1.0,1
112,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,3692,0.0,93.0,360.0,1.0,1
113,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,3865,1640.0,146.41216216216216,360.0,1.0,1
114,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,10513,3850.0,160.0,180.0,0.0,0
115,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,6080,2569.0,182.0,360.0,1.0,0
116,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,20166,0.0,650.0,480.0,1.0,1
117,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2014,1929.0,74.0,360.0,1.0,1
118,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2718,0.0,70.0,360.0,1.0,1
119,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,3459,0.0,25.0,120.0,1.0,1
120,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4895,0.0,102.0,360.0,1.0,1
121,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,4000,7750.0,290.0,360.0,1.0,0
122,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,4583,0.0,84.0,360.0,1.0,0
123,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,3316,3500.0,88.0,360.0,1.0,1
124,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,14999,0.0,242.0,360.0,0.0,0
125,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,4200,1430.0,129.0,360.0,1.0,0
126,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,5042,2083.0,185.0,360.0,1.0,0
127,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,5417,0.0,168.0,360.0,1.0,1
128,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,6950,0.0,175.0,180.0,1.0,1
129,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2698,2034.0,122.0,360.0,1.0,1
130,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,11757,0.0,187.0,180.0,1.0,1
131,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2330,4486.0,100.0,360.0,1.0,1
132,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,14866,0.0,70.0,360.0,1.0,1
133,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1538,1425.0,30.0,360.0,1.0,1
134,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,10000,1666.0,225.0,360.0,1.0,0
135,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4860,830.0,125.0,360.0,1.0,1
136,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,6277,0.0,118.0,360.0,0.0,0
137,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,2577,3750.0,152.0,360.0,1.0,1
138,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,9166,0.0,244.0,360.0,1.0,0
139,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,2281,0.0,113.0,360.0,1.0,0
140,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3254,0.0,50.0,360.0,1.0,1
141,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,39999,0.0,600.0,180.0,0.0,1
142,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,6000,0.0,160.0,360.0,1.0,1
143,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,9538,0.0,187.0,360.0,1.0,1
144,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4583,5625.0,255.0,360.0,1.0,1
145,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1863,1041.0,98.0,360.0,1.0,1
146,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,7933,0.0,275.0,360.0,1.0,0
147,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3089,1280.0,121.0,360.0,0.0,0
148,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,4167,1447.0,158.0,360.0,1.0,1
149,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,9323,0.0,75.0,180.0,1.0,1
150,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3707,3166.0,182.0,360.0,1.0,1
151,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,4583,0.0,112.0,360.0,1.0,0
152,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,2439,3333.0,129.0,360.0,1.0,1
153,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2237,0.0,63.0,480.0,0.0,0
154,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,8000,0.0,200.0,360.0,1.0,1
155,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,3522,0.0,81.0,180.0,1.0,0
156,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,5708,5625.0,187.0,360.0,1.0,1
157,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,4344,736.0,87.0,360.0,1.0,0
158,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3497,1964.0,116.0,360.0,1.0,1
159,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,2045,1619.0,101.0,360.0,1.0,1
160,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,5516,11300.0,495.0,360.0,0.0,0
161,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3750,0.0,116.0,360.0,1.0,1
162,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,2333,1451.0,102.0,480.0,0.0,0
163,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,6400,7250.0,180.0,360.0,0.0,0
164,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1916,5063.0,67.0,360.0,1.0,0
165,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4600,0.0,73.0,180.0,1.0,1
166,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,33846,0.0,260.0,360.0,1.0,0
167,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3625,0.0,108.0,360.0,1.0,1
168,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,39147,4750.0,120.0,360.0,1.0,1
169,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,2178,0.0,66.0,300.0,0.0,0
170,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,2383,2138.0,58.0,360.0,1.0,1
171,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,9328,0.0,188.0,180.0,1.0,1
172,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,4885,0.0,48.0,360.0,1.0,1
173,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,12000,0.0,164.0,360.0,1.0,0
174,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,6033,0.0,160.0,360.0,1.0,0
175,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,3858,0.0,76.0,360.0,1.0,1
176,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,4191,0.0,120.0,360.0,1.0,1
177,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3125,2583.0,170.0,360.0,1.0,0
178,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,8333,3750.0,187.0,360.0,1.0,1
179,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1907,2365.0,120.0,360.0,1.0,1
180,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3416,2816.0,113.0,360.0,1.0,1
181,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,11000,0.0,83.0,360.0,1.0,0
182,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,2600,2500.0,90.0,360.0,1.0,1
183,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,4923,0.0,166.0,360.0,0.0,1
184,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,3992,0.0,146.41216216216216,180.0,1.0,0
185,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,3500,1083.0,135.0,360.0,1.0,1
186,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,3917,0.0,124.0,360.0,1.0,1
187,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,4408,0.0,120.0,360.0,1.0,1
188,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3244,0.0,80.0,360.0,1.0,1
189,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,3975,2531.0,55.0,360.0,1.0,1
190,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2479,0.0,59.0,360.0,1.0,1
191,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,3418,0.0,127.0,360.0,1.0,0
192,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,10000,0.0,214.0,360.0,1.0,0
193,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3430,1250.0,128.0,360.0,0.0,0
194,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,7787,0.0,240.0,360.0,1.0,1
195,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,5703,0.0,130.0,360.0,1.0,1
196,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3173,3021.0,137.0,360.0,1.0,1
197,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,3850,983.0,100.0,360.0,1.0,1
198,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,150,1800.0,135.0,360.0,1.0,0
199,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3727,1775.0,131.0,360.0,1.0,1
200,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,4283,2383.0,127.0,360.0,1.0,1
201,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2221,0.0,60.0,360.0,0.0,0
202,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,4009,1717.0,116.0,360.0,1.0,1
203,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2971,2791.0,144.0,360.0,1.0,1
204,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,7578,1010.0,175.0,360.0,1.0,1
205,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,6250,0.0,128.0,360.0,1.0,1
206,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3250,0.0,170.0,360.0,1.0,0
207,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,6250,1695.0,210.0,360.0,1.0,1
208,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,6400,0.0,200.0,360.0,1.0,1
209,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2491,2054.0,104.0,360.0,1.0,1
210,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,3189,2598.0,120.0,360.0,1.0,1
211,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,8333,0.0,280.0,360.0,1.0,1
212,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3155,1779.0,140.0,360.0,1.0,1
213,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,5500,1260.0,170.0,360.0,1.0,1
214,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,3463,0.0,122.0,360.0,1.0,1
215,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,3812,0.0,112.0,360.0,1.0,1
216,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3315,0.0,96.0,360.0,1.0,1
217,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,5819,5000.0,120.0,360.0,1.0,1
218,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,2510,1983.0,140.0,180.0,1.0,0
219,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2965,5701.0,155.0,60.0,1.0,1
220,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,6250,1300.0,108.0,360.0,1.0,1
221,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,3406,4417.0,123.0,360.0,1.0,1
222,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,6050,4333.0,120.0,180.0,1.0,0
223,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,9703,0.0,112.0,360.0,1.0,1
224,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,6608,0.0,137.0,180.0,1.0,1
225,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2882,1843.0,123.0,480.0,1.0,1
226,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1809,1868.0,90.0,360.0,1.0,1
227,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1668,3890.0,201.0,360.0,0.0,0
228,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,3427,0.0,138.0,360.0,1.0,0
229,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,2583,2167.0,104.0,360.0,1.0,1
230,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,2661,7101.0,279.0,180.0,1.0,1
231,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,16250,0.0,192.0,360.0,0.0,0
232,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,3083,0.0,255.0,360.0,1.0,1
233,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,6045,0.0,115.0,360.0,0.0,0
234,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,5250,0.0,94.0,360.0,1.0,0
235,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,14683,2100.0,304.0,360.0,1.0,0
236,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,4931,0.0,128.0,360.0,1.0,0
237,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,6083,4250.0,330.0,360.0,1.0,1
238,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2060,2209.0,134.0,360.0,1.0,1
239,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,3481,0.0,155.0,36.0,1.0,0
240,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,7200,0.0,120.0,360.0,1.0,1
241,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,5166,0.0,128.0,360.0,1.0,1
242,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,4095,3447.0,151.0,360.0,1.0,1
243,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,4708,1387.0,150.0,360.0,1.0,1
244,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,4333,1811.0,160.0,360.0,0.0,1
245,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,2876,1560.0,90.0,360.0,1.0,1
246,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3237,0.0,30.0,360.0,1.0,1
247,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,11146,0.0,136.0,360.0,1.0,1
248,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,2833,1857.0,126.0,360.0,1.0,1
249,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2620,2223.0,150.0,360.0,1.0,1
250,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,3900,0.0,90.0,360.0,1.0,1
251,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2750,1842.0,115.0,360.0,1.0,1
252,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3993,3274.0,207.0,360.0,1.0,1
253,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3103,1300.0,80.0,360.0,1.0,1
254,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,14583,0.0,436.0,360.0,1.0,1
